Row	Reel	Side	File	Start	End	Duration	NID	Title	DisType	TapeDuration	Genre	Sequence	Translation Available?	Include 3 transcriptions	Translation filename	Status	Using?	Comments	Prob?	TapeStart	TapeEnd	TapeLength	StartD	EndD			DurD	Ratio		Notes	translation and notes edited	gloss checked
19	1	1	1_3	45:01	48:06	03:05	20	How we came from Burma to Thailand	narrative	783-842	1	5	Y	Y	020_how_we_came_from_burma.rtf 	Entered	y	Also Lh. fair copy; on LACITO archive		783	842	59	2701.0	2886.0	x		185.0	0.32			y	y
20	1	1	1_3	48:12	49:58	01:46	21	Lahu cosmogony		845-881	12	2		Y	021_lahu_cosmogony.rtf	Entered	y			845	881	36	2892.0	2998.0	x	21	106.0	0.34			y	y
21	1	2	2_1	00:00	10:15	10:15	22	Gospel phonograph records		008-092				Y		Unusable	n	Poor quality recording		8	92	84	0.0	615.0	x		615.0	0.14				
22	1	2	2_1	10:16	13:30	03:14	23	Candid conversation: preparing to record for the first time		093-120	6	2	Y	Y	023_candid_conversation.rtf	Entered	y			93	120	27	616.0	810.0	x	23	194.0	0.14			y	y
23	1	2	2_1	13:31	22:30	08:59	24	Building a house	playlet	121-201	5	5	Y	Y	024_building_a_house.rtf 	Entered	y			121	201	80	811.0	1350.0	x	24	539.0	0.15			y	y
24	1	2	2_2	00:00	03:18	03:18	25	The women go fishing	women's dialogue	205-235	4	2	Y	Y	025_the_women_go_fishing.rtf 	Entered	y	aka Talking about Fishing		205	235	30	0.0	198.0	x	25	198.0	0.15			y	y
25	1	2	2_2	03:20	03:49	00:29	26	Calling back a wandering soul (formerly: Incantation to the Spirits (Akha))		236-240	8	3		Y	026_calling_back_a_wandering_soul.rtf	Entered	n	In Akha		236	240	4	200.0	229.0	x	26	29.0	0.14				
26	1	2	2_2	03:58	07:01	03:03	27	In unity there is strength (Version I)	moral tale	242-271	7	7	Y	Y	027_in_unity_there_is_strength.rtf 	Entered	y	Same story as no. 35, but told by a different speaker		242	271	29	238.0	421.0	x		183.0	0.16			y	y
27	1	2	2_2	07:07	10:01	02:54	28	The blind man and the cripple	story	272-301	8	11	Y	Y	028_the_blind_man_and_the_cripple.rtf 	Entered	y			272	301	29	427.0	601.0	x	28	174.0	0.17			y	y
28	1	2	2_2	10:02	12:11	02:09	29	The potter and the laundryman	story	302-323	7	11	Y	Y	029_the_potter_and_the_laundryman.rtf 	Entered	y			302	323	21	602.0	731.0	x	29	129.0	0.16			y	y
29	1	2	2_2	12:12	13:47	01:35	30	The blind men and the elephant	parable	324-340	7	6	Y	Y	030_the_blind_men_and_the_elephant.rtf 	Entered	y			324	340	16	732.0	827.0	x	30	95.0	0.17			y	y
30	1	2	2_3	00:00	14:10	14:10	31	Marriage and divorce	discussion	347-509	5	7	Y	Y	031_marriage_and_divorce.rtf 	Entered	y			347	509	162	0.0	850.0	x	31	850.0	0.19			y	y
31	1	2	2_3	14:11	17:05	02:54	32	How woman got her clitoris	myth	511-547	8	1	Y	Y	032_how_woman_got_her_clitoris.rtf 	Entered	y			511	547	36	851.0	1025.0	x	32	174.0	0.21			y	y
32	1	2	2_3	17:09	21:25	04:16	33	The trader and the widow's balls	story	549-602	10	1	Y	Y	033_the_trader_and_the_widows_balls.rtf 	Entered	y	Cf. no. 114		549	602	53	1029.0	1285.0	x	33	256.0	0.21			y	y
34	4	2	3_1	00:00	00:51	00:51	34	Farting and playing tag	joke	005-012	9	1	Y	Y	034_farting_and_playing_tag.rtf 	Entered	y			5	12	7	0.0	51.0	x	34	51.0	0.14			y	y
35	4	2	3_1	00:52	03:13	02:21	35	In unity there is strength (Version II)	moral tale	013-032	7	8	Y	Y	035_in_unity_there_is_strength.rtf 	Entered	y	Same story as no. 27	x	13	32	19	52.0	193.0	x	35	141.0	0.13			y	y
36	4	2	3_1	03:14	04:57	01:43	36	Blessing in the name of the spirits		034-048				Y		Defer	n	Incantatory style		34	48	14	194.0	297.0	x		103.0	0.14				
37	4	2	3_1	04:58	06:23	01:25	37	Song of reconciliation between brother and sister	folk tale	048-061	13	1	Y	Y	037_song_of_reconciliation_of_the_brother_and_sister.rtf 	Entered	y			48	61	13	298.0	383.0	x	37	85.0	0.15			y	y
38	4	2	3_1	06:24	07:31	01:07	38	The trickster and the traders	story	061-070	10	3	Y	Y	038_the_trickster_and_the_traders.rtf 	Entered	y	There are no pauses between 38/39		61	70	9	384.0	451.0	x	38	67.0	0.13			y	y
39	4	2	3_1	07:31	08:31	01:00	39	The trickster's spear and the merchants	story	070-080	10	4	Y	Y	039_the_trickster_s_spear_and_the_traders.rtf 	Entered	y	There are no pauses between 38/39		70	80	10	451.0	511.0	x	39	60.0	0.17			y	y
40	4	2	3_1	08:32	15:25	06:53	40	Trickster and the village women	story	081-143	10	7	Y	Y	040_the_trickster_and_the_village_women.rtf 	Entered	y	There are no pauses between 40/41; same story as nos. 44 and 76		81	143	62	512.0	925.0	x	40	413.0	0.15			y	y
41	4	2	3_1	15:25	16:43	01:18	41	Two songs		143-156				Y		Defer	n	There are no pauses between 40/41		143	156	13	925.0	1003.0	x		78.0	0.17				
42	4	2	3_1	16:45	18:17	01:32	42	Traditional love-song		157-171				Y		Defer	n	There are no pauses between 42/43		157	171	14	1005.0	1097.0	x		92.0	0.15				
43	4	2	3_1	18:17	18:45	00:28	43	Getting older		171-175	14	5		Y	043_song_getting_older.rtf	Entered	y	There are no pauses between 42/43		171	175	4	1097.0	1125.0	x		28.0	0.14			y	y
44	4	2	3_2	00:00	03:34	03:34	44	The Trickster and the village women	story	176-211				Y		Defer	n	In BLS; in Yellow Lahu, but the same story as nos. 40 and 76		176	211	35	0.0	214.0	x		214.0	0.16				
45	4	2	3_2	03:35	05:20	01:45	45	Edifying text		212-229				Y		Defer	n	Yellow Lahu		212	229	17	215.0	320.0	x		105.0	0.16				
46	4	2	3_2	05:24	08:10	02:46	46	God bless this meeting!		230-259	16	1		Y	046_god_bless_this_meeting.rtf	Entered	y	In Black Lahu, but with a Yellow accent		230	259	29	324.0	490.0	x		166.0	0.17			y	y
48	4	1	3_3	00:43	04:18	03:35	47	Antiphonal love-songs (I)		274-311	13	2		Y	047_another_antiphonal_love_poem.rtf	Entered	y	two songs, close together (partially transcribed)	x	274	311	37	43.0	258.0	x	47	215.0	0.17				
52	4	1	3_3	07:53	09:11	01:18	48	God, parents, and village welfare		353-368	16	2		Y	048_edifying_thoughts_on_god_parents_and_village.rtf	Entered	y			353	368	15	473.0	551.0	x	48	78.0	0.19			y	y
53	4	1	3_3	09:13	10:32	01:19	49	Granny gets smeared with mud		368-383	14	4		Y	049_granny_gets_smeared_with_mud.rtf 	Entered	y			368	383	15	553.0	632.0	x		79.0	0.19			y	y
54	4	1	3_3	10:33	11:38	01:05	50	Hunting scene	playlet	384-398				Y		Entered	n	Marked by long internal pauses		384	398	14	633.0	698.0	x	50	65.0	0.22				
55	4	1	3_3	11:45	13:02	01:17	51	What is a Christian?		399-414	15	4		Y	051_what_is_a_christian_hymn.rtf	Entered	y	first song not transcribed		399	414	15	705.0	782.0	x	51	77.0	0.19			y	y
56	4	1	3_3	13:04	14:24	01:20	52	Hunting jungle fowl	playlet	415-434	3	3		Y	052_hunting_jungle_fowl.rtf 	Entered	y			415	434	19	784.0	864.0	x	52	80.0	0.24			y	y
57	4	1	3_3	14:30	17:04	02:34	53	Monkey hunting	including a hunting song	433-465	3	5		Y	053_monkey_hunting.rtf 	Entered	y			433	465	32	870.0	1024.0	x	53	154.0	0.21			y	
58	4	1	3_3	17:05	18:38	01:33	54	Traditional love-song		466-485				Y		Defer	n			466	485	19	1025.0	1118.0	x		93.0	0.20				
59	4	1	3_4	00:00	03:56	03:56	55	The dhole and the tiger	story	486-540	7	4	Y	Y	055_the_dhole_and_the_tiger.rtf 	Entered	y			486	540	54	0.0	236.0	x	55	236.0	0.23			y	y
60	4	1	3_4	04:00	05:16	01:16	56	Antiphonal love-songs (II)		541-559	13	3		Y	056_antiphonal_love_poem.rtf	Entered	y			541	559	18	240.0	316.0	x	56	76.0	0.24				
61	4	1	3_4	05:18	06:50	01:32	57	Conference of Lahu Christians at Shatodo		560-587	16	3		Y	057_conference_of_lahu_christians_at_shatodu.rtf 	Entered	y			560	587	27	318.0	410.0	x	57	92.0	0.29			y	y
62	4	1	3_4	06:53	08:10	01:17	58	Two hymns		588-603				Y		Entered	n			588	603	15	413.0	490.0	x	58	77.0	0.19				
63	4	1	3_4	08:11	09:20	01:09	59	Thoughts for Lahu Christian youth		604-620	16	9		Y	059_lecture_for_lahu_christian_youth.rtf 	Entered	y			604	620	16	491.0	560.0	x	59	69.0	0.23			y	y
64	4	1	3_4	09:27	11:19	01:52	60	The six stupid men and the gophers	story	622-652	9	2		Y	060_the_six_stupid_men_and_the_gophers.rtf 	Entered	y			622	652	30	567.0	679.0	x	60	112.0	0.27			y	y
65	4	1	3_4	11:20	14:40	03:20	61	The orphan and the tigers	story	654-716	8	8		Y	061_the_orphan_and_the_tigers.rtf 	Entered	y			654	716	62	680.0	880.0	x	61	200.0	0.31			y	y
66	4	2	4_1	00:00	07:33	07:33	62	News broadcast in Lahu from Burmese radio		004-096				Y		not using	n	Poor quality	x	4	96	92	0.0	453.0	x		453.0	0.20				
67	4	2	4_1	07:33	10:32	02:59	63	Two songs		004-096				Y	(missing)	Defer	n			4	96	92	453.0	632.0	x		179.0	0.51				
68	4	2	4_1	10:35	12:11	01:36	64	God's doors are still open		101-116	15	5		Y	064_gods_doors_are_still_open.rtf	Entered	y			101	116	15	635.0	731.0	x	64	96.0	0.16			y	y
69	4	2	4_1	12:13	17:59	05:46	65	Visiting the village's fields	monologue	116-184	2	3		Y	065_visiting_the_village_s_fields.rtf 	Entered	y			116	184	68	733.0	1079.0	x	65	346.0	0.20			y	y
70	4	2	4_1	17:59	28:27	10:28	66	Candid conversation: preparing to be recorded		184-275	6	3		Y	066_candid_conversation__working_up_to_being_recorded.rtf 	Entered	y			184	275	91	1079.0	1707.0	x	66	628.0	0.14			y	y
71	4	2	4_2	00:00	10:44	10:44	67	A day hunting and talking	dialogue	284-407	3	8	Y	Y	067_a_day_hunting_and_talking.rtf 	Entered	y			284	407	123	0.0	644.0	x	67	644.0	0.19			y	y
72	4	2	4_2	10:47	17:19	06:32	68	The rabbit and the tiger	story	408-491	8	4		Y	068_the_rabbit_and_the_tiger.rtf 	Entered	y			408	491	83	647.0	1039.0	x	68	392.0	0.21			y	y
73	4	2	4_3	00:00	10:23	10:23	69	Picking tea	conversa-tion	505-659	2	4	Partial	Y	069_picking_tea.rtf 	Entered	y	Only beginning translated		505	659	154	0.0	623.0	x	69	623.0	0.25			y	y
74	4	2	4_3	10:24	19:06	08:42	70	Wooing the maidens (Part I)	discussion	661-827	5	8	Y	Y	070_wooing_the_maidens.rtf 	Entered	y	Continued in no. 77a		661	827	166	624.0	1146.0	x	70	522.0	0.32			y	y
75	7	2	5_1	00:00	04:25	04:25	71	Obscene taunts		011-046				Y		Defer	n	Marked by several pauses; in Red Lahu		11	46	35	0.0	265.0	x		265.0	0.13				
76	7	2	5_1	04:39	07:01	02:22	72	Hunting tale		047-069				Y	(missing)	Defer	n	In Red Lahu		47	69	22	279.0	421.0	x		142.0	0.15				
77	7	2	5_1	07:05	07:47	00:42	73	The Trickster, the barking-deer, and the swallowed berries	story	069-076				Y	(missing)	Defer	n	In Red Lahu; cf. no. 98		69	76	7	425.0	467.0	x		42.0	0.17				
78	7	2	5_1	07:53	10:28	02:35	74	Creation myth:  The first man emerges from the primeval gourd		077-098				Y	(missing)	Defer	n	In Red Lahu; cf. no. 137		77	98	21	473.0	628.0	x		155.0	0.14				
79	7	2	5_1	10:36	11:36	01:00	75	The Trickster, the horse, and the pumpkin	story	100-126				Y	(missing)	Defer	n	In Red Lahu		100	126	26	636.0	696.0	x		60.0	0.43				
80	7	2	5_1	11:37	15:23	03:46	76	The Trickster and the village women		127-142				Y	(missing)	Defer	n	In Red Lahu; same story as nos. 40 and 44	x	127	142	15	697.0	923.0	x		226.0	0.07				
81	7	2	5_2	00:00	00:56	00:56	77	Jews harp music		149-157				Y		Entered	n			149	157	8	0.0	56.0	x	77	56.0	0.14				
83	7	2	5_2	03:45	18:15	14:30	78	The government offers us new land		185-330	6	6	Y	Y	078_the_government_offers_us_new_lands.rtf 	Entered	y			185	330	145	225.0	1095.0	x	78	870.0	0.17			y	y
84	7	2	5_3	00:00	02:47	02:47	79	Sermon fragment		409-442				Y	(missing)	Defer	n		x	409	442	33	0.0	167.0	x		167.0	0.20				
85	7	2	5_3	02:49	14:31	11:42	80	Christmas and the New Rice Festival	discussion	443-596	5	16		Y	080_christmas_new_year_s_and_the_new_rice_festival.rtf 	Entered	y			443	596	153	169.0	871.0	x	80	702.0	0.22			y	y
86	7	2	5_3	14:33	15:53	01:20	81	The buffalo bugger and the rabbit hunters	story	597-616	9	5	Y	Y	081_the_buffalo_bugger_and_the_rabbit_hunters.rtf	Entered	y	No pauses from 81-83		597	616	19	873.0	953.0	x	81	80.0	0.24			y	y
																															y	
89	7	2	5_3	22:15	25:12	02:57	83	The three lazy men and the princess (Version I)	story	718-769	8	6	Y	Y	083_the_three_lazy_men_and_the_princess.rtf 	Entered	y	Continued in no. 120		718	769	51	1335.0	1512.0	x	83	177.0	0.29				
90	3	2	6_1	00:00	02:10	02:10	84	Hymn		008-026				Y	(missing)	Defer	n			8	26	18	0.0	130.0	x		130.0	0.14				
87	7	2	5_3	16:00	20:01	04:01	85	Courting banter	discussion	619-679	5	10	Y	Y	085_courting_badinage.rtf	Entered	y	No pauses from 81-83		619	679	60	960.0	1201.0	x	85	241.0	0.25			y	y
92	3	2	6_1	11:12	13:22	02:10	86	Headman's communication: even if you're busy there are things to discuss		103-122	16	4	Y	Y	086_headman_s_communication.rtf	Entered	y			103	122	19	672.0	802.0	x	86	130.0	0.15			y	y
95	3	2	6_2	00:00	01:29	01:29	87	Candid conversation: building an airstrip		234-247	6	4		Y	087_candid_conversation_building_an_airstrip.rtf	Entered	y			234	247	13	0.0	89.0	x	87	89.0	0.15			y	y
96	3	2	6_2	01:30	22:30	21:00	88	Building an airstrip	discussion	248-475	6	5	Y	Y	088_building_an_airstrip.rtf 	Entered	y			248	475	227	90.0	1350.0	x	88	1260.0	0.18			y	y
97	3	2	6_3	00:21	02:44	02:23	89	We sinners are like pigs		487-516	16	7	Y	Y	089_we_sinners_are_like_pigs.rtf 	Entered	y			487	516	29	21.0	164.0	x	89	143.0	0.20			y	y
98	3	2	6_3	02:45	03:44	00:59	90	Proverbs		517-529	7	5	Y	Y	090_proverbs.rtf 	Entered	y			517	529	12	165.0	224.0	x	90	59.0	0.20			y	y
99	3	2	6_3	03:45	06:24	02:39	91	Laying up riches in heaven	story	530-566	16	8	Y	Y	091_laying_up_riches_in_heaven.rtf	Entered	y			530	566	36	225.0	384.0	x	91	159.0	0.23			y	y
100	3	2	6_3	06:26	09:16	02:50	92	The trickster and the old bonze	story	567-607	10	5	Y	Y	092_the_trickster_and_the_old_bonze.rtf 	Entered	y			567	607	40	386.0	556.0	x	92	170.0	0.24			y	y
101	3	2	6_3	09:28	10:22	00:54	93	Changeless Jesus		611-623	15	6	Y	Y	093_changeless_jesus.rtf 	Entered	y			611	623	12	568.0	622.0	x		54.0	0.22			y	y
102	3	2	6_3	10:25	12:49	02:24	94	The fingerless lord	story	624-661	7	12	Y	Y	094_the_fingerless_lord.rtf 	Entered	y			624	661	37	625.0	769.0			144.0	0.26			y	y
103	3	2	6_3	12:50	16:17	03:27	95	The trickster's talented pecker	stories	662-722	10	6	Y	Y	095_the_trickster_with_the_warbling_pecker.rtf 	Entered	y			662	722	60	770.0	977.0			207.0	0.29			y	y
104	3	2	6_3	16:18	17:48	01:30	96	The little crabs who walked zig-zag	fable	724-747	7	1	Y	Y	096_the_little_crabs_who_walked_zig_zag.rtf 	Entered	y	Published in book of fables		724	747	23	978.0	1068.0	x	96	90.0	0.26			y	y
105	3	2	6_3	17:48	19:55	02:07	97	The lion and the frog	fable	749-788	7	3	Y	Y	097_the_lion_and_the_frog.rtf 	Entered	y			749	788	39	1068.0	1195.0	x	97	127.0	0.31			y	y
106	4	1	7_1	00:03	02:07	02:04	98	Resurrection of a barking deer and fulfilment of a prophecy		007-023	9	6	Y	Y	098_resurrection_of_a_barking_deer_and_fulfillment_of_a_prophecy.rtf 	Entered	y	Cf. no. 73		7	23	16	3.0	127.0	x	98	124.0	0.13			y	y
107	4	1	7_1	02:13	03:09	00:56	99	The tiger in the tobacco pouch	anecdote	024-030	11	2		Y	099_the_tiger_in_the_tobacco-pouch.rtf	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		24	30	6	133.0	189.0	x		56.0	0.11			y	y
108	4	1	7_1	03:09	03:37	00:28	100	Shan-Lahu anecdote		031-035				Y		Defer	n	Unfinished because of laughter; published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		31	35	4	189.0	217.0	x		28.0	0.14				
109	4	1	7_1	03:38	04:39	01:01	101	Thanks for the non-curry		035-043	11	4	Y	Y	101_thanks_for_the_non-curry.rtf 	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		35	43	8	218.0	279.0	x		61.0	0.13			y	y
110	4	1	7_1	04:41	05:54	01:13	102	The stupid son-in-law and the bonze		044-054	9	3	Y	Y	102_the_stupid_son_in_law_beats_a_benevolent_bonze.rtf 	Entered	y			44	54	10	281.0	354.0	x		73.0	0.14			y	y
111	4	1	7_1	05:55	06:53	00:58	103	The ferocious elephant		054-061	11	1	Y	Y	103_the_ferocious_elephant.rtf 	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		54	61	7	355.0	413.0	x		58.0	0.12			y	y
112	4	1	7_1	06:53	08:11	01:18	104	Father-in-law's cold rice 		062-073	9	9	Y	Y	104_the_father_in_laws_cold_rice.rtf	Entered	y	Poorly told joke		62	73	11	413.0	491.0	x		78.0	0.14			y	y
113	4	1	7_1	08:15	09:17	01:02	105	Meat live in tree		073-081	11	5	Y	Y	105_meat_live_in_tree.rtf 	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		73	81	8	495.0	557.0	x		62.0	0.13			y	y
114	4	1	7_1	09:17	10:27	01:10	106	Song:  ``Dawn breaks over the weary travellers''		082-091				Y	(missing)	Defer	n			82	91	9	557.0	627.0	x		70.0	0.13				
115	4	1	7_1	10:29	15:00	04:31	107a	Those peppers are really hot!	anecdote	092-204	11	8	Y	Y	107a_those_peppers_are_really_hot.rtf	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia; Yellow Lahu		92	204	112	629.0	900.0	x	#N/A	271.0	0.41			y	y
116	4	1	7_1	15:01	16:29	01:28	108	The son-in-law, the red ants, and the rice packet	story	131-144	9	4	Y	Y	108_stupid_son_in_law_the_red_ants_and_the_rice_packet.rtf 	Entered	y			131	144	13	901.0	989.0	x	108	88.0	0.15			y	y
117	4	1	7_1	16:30	18:00	01:30	109	The hornbills are munching hog-plums, but I'd rather catch fish		145-157	3	6		Y	109_the_hornbills_are_munching_hog-plums.rtf	Entered	y	Poorly told		145	157	12	990.0	1080.0	x		90.0	0.13				
118	4	1	7_1	18:03	19:52	01:49	110	The empty coconuts		159-174	11	3	Y	Y	110_the_empty_coconuts___the_lahu_and_the_shan_traders.rtf 	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		159	174	15	1083.0	1192.0	x		109.0	0.14			y	y
119	10	2	7_2	00:00	02:37	02:37	111	Ananias came to grief		200-224	15	7	Y	Y	111_hymn_ananias_came_to_grief.rtf 	Entered	y			200	224	24	0.0	157.0	x		157.0	0.15			y	y
120	4	1	7_2	02:38	04:02	01:24	112	God keeps me company		225-237	15	8	Y	Y	112_god_keeps_me_company.rtf 	Entered	y			225	237	12	158.0	242.0	x		84.0	0.14			y	y
121	4	1	7_2	04:03	04:50	00:47	113	Let us dedicate our precious lives to the Lord		238-245	15	9	Y	Y	113_let_us_dedicate_our_precious_lives_to_the_lord.rtf 	Entered	y			238	245	7	243.0	290.0	x		47.0	0.15			y	y
122	4	1	7_2	04:51	08:17	03:26	114	The merchant and the widow's daughter	story	246-279	10	2		Y	114_the_merchant_and_the_widows_daughter.rtf	Entered	y	Cf. no. 33		246	279	33	291.0	497.0	x	114	206.0	0.16			y	y
123	4	1	7_2	08:18	17:10	08:52	115	Dividing a slaughtered pig fairly	discussion	280-370	5	11	Y	Y	115_dividing_a_slaughtered_pig_fairly.rtf 	Entered	y			280	370	90	498.0	1030.0	x	115	532.0	0.17			y	y
124	4	1	7_2	17:10	18:58	01:48	116	A liar ``kills'' a bear and a mountain goat	story	371-390	9	8	Y	Y	116_a_liar_kills_a_bear_and_a_mountain_goat.rtf 	Entered	y			371	390	19	1030.0	1138.0	x	116	107.0	0.18			y	y
125	4	1	7_2	18:58	20:02	01:05	117	Trapping a deer in a tree		390-401	9	7	Y	Y	117_trapping_a_deer_in_a_tree.rtf 	Entered	y		x	390	401	11	1138.0	1202.0	x	117	65.0	0.17			y	y
126	4	1	7_2	20:03	21:06	01:03	118	A Lahu sells wasp larvae to a Shan	anecdote	402-413						unused	n	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia (Ginny: pretty sure it's not...)		402	413	11	1203.0	1266.0	x		63.0	0.17				
127	4	1	7_2	21:07	22:36	01:29	119	A Lahu gives a Shan a good cursing	anecdote	413-428	11	6	Y	Y	119_a_lahu_gives_a_shan_a_good_cursing.rtf 	Entered	y	Published in "Lahu bilingual humor" in Acta Linguistica Hafniensia		413	428	15	1267.0	1356.0	x		89.0	0.17			y	y
128	4	1	7_3	00:00	02:49	02:49	120	The three lazy men and the princess (Version II)	story	438-470	8	7	Y	Y	120_the_three_lazy_men_and_the_princess.rtf	Entered	y	Same speaker, same story as no. 83		438	470	32	0.0	169.0	x	120	169.0	0.19			y	y
129	4	1	7_3	02:50	04:30	01:40	121	The smoker and the non-smoker dispute a pipe (Version II)		471-490	7	10	Y	Y	121_a_smoker_and_a_non_smoker_dispute_a_pipe.rtf 	Entered	y	Cf. no. 82a		471	490	19	170.0	270.0	x	121	100.0	0.19			y	y
130	4	1	7_3	04:31	15:41	11:10	122	Church service		491-636	16	6		Y	122_church_service.rtf	Entered	y			491	636	145	271.0	941.0	x	122	670.0	0.22				
131	4	1	8_1	00:00	14:17	14:17	123	The village headman	discussion	638-903	5	3	Y	Y	123_the_institution_of_the_village_headman.rtf 	Entered	y	Badly recorded from 835 to end; re-recorded by collector and chief informant (835-890)	x	638	903	265	0.0	857.0	x		857.0	0.31			y	y
132	4	2	8_2	00:00	16:37	16:37	124	Discussion of Lahu customs; hill life vs. life in the plains		009-147	5	1	Y	Y	124_discussion_of_lahu_customs.rtf 	Entered	y	Badly recorded (maybe this comment was a mistake?)		9	147	138	0.0	997.0	x		997.0	0.14			y	y
133	4	2	8_2	16:38	18:47	02:09	125	Headman's welcome to the New Rice Festival		148-167	16	5	Y	Y	125_headmans_welcome_to_the_new_rice_festival.rtf	Entered	y			148	167	19	998.0	1127.0	x	125	129.0	0.15			y	y
134	4	2	8_2	18:50	30:33	11:43	126	Playing ball and spinning the top at New Year's	playlets	167-276	5	15	Y	Y	126_playing_ball_at_new_rice_festival.rtf 	Entered	y	Poorly recorded		167	276	109	1130.0	1833.0	x		703.0	0.16			y	y
135	4	2	8_3	00:00	11:27	11:27	127	Founding a new village		292-412	5	6	Y	Y	127_founding_a_new_village.rtf 	Entered	y	Badly recorded, but included anyway		292	412	120	0.0	687.0	x		687.0	0.17			y	y
